id,documentId,pageNumber,tableId,row,column,content,originalContent,cleanedContent,confidence,status,reviewerId,reviewedAt,updatedAt,_rid,_self,_etag,_attachments,_ts,blobName,riding
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col6,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,6,58,58,58,0.9746666666666667,approved,,,2025-04-28T11:52:26Z,6ookALMJiOL9DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL9DAAAAAAAAA==/,"""0000dd1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col7,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,7,196,196,196,0.9058235294117646,approved,,,2025-04-28T11:52:26Z,6ookALMJiOL+DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL+DAAAAAAAAA==/,"""0000de1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row15_col8,563d4203-d626-4626-9f14-83dba55738ef,3,1,15,8,107,107,107,0.8408888888888888,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOL-DAAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOL-DAAAAAAAAA==/,"""0000df1f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col0,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,0,15,15,15,0.8005714285714285,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOIADQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIADQAAAAAAAA==/,"""0000e01f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col1,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,1,195,195,195,0.867909090909091,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOIBDQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIBDQAAAAAAAA==/,"""0000e11f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col2,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,2,161,161,161,0.8321111111111112,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOICDQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOICDQAAAAAAAA==/,"""0000e21f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col3,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,3,37,37,37,0.99675,approved,,,2025-04-28T11:52:26Z,6ookALMJiOIDDQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIDDQAAAAAAAA==/,"""0000e31f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col4,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,4,171,171,171,0.8836428571428571,needs_review,,,2025-04-28T11:52:26Z,6ookALMJiOIEDQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIEDQAAAAAAAA==/,"""0000e41f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col5,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,5,408,408,408,0.96175,approved,,,2025-04-28T11:52:26Z,6ookALMJiOIFDQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIFDQAAAAAAAA==/,"""0000e51f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
563d4203-d626-4626-9f14-83dba55738ef_page3_tbl1_row16_col6,563d4203-d626-4626-9f14-83dba55738ef,3,1,16,6,59,59,59,0.996,approved,,,2025-04-28T11:52:26Z,6ookALMJiOIGDQAAAAAAAA==,dbs/6ookAA==/colls/6ookALMJiOI=/docs/6ookALMJiOIGDQAAAAAAAA==/,"""0000e61f-0000-0a00-0000-680f6bfa0000""",attachments/,1745841146,,
