document_id,blob_name,page_number,table_index,row_index,column_index,content,confidence
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,5,67,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,18,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,2,43,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,5,68,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,19,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,2,44,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,5,69,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,20,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,2,45,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,4,70,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,21,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,2,46,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,4,71,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,22,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,2,47,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,5,72,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,23,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,2,48,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,5,73,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,24,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,0,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,1,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,2,49,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,5,74,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,25,7,,
